starttime,radius,magnitude,azimuth,polar,elevation,detected
2017-06-23T02:54:50.560000Z,13876.39856,0.7,132.5120249,86.48607513,-190,1
2017-06-23T14:31:15.170000Z,11840.44958,0.77,125.9929615,54.53140163,-6210,1
2017-06-23T22:03:22.380000Z,73461.34891,2.17,-129.14643,85.12688287,-5580,1
2017-06-24T07:23:11.630000Z,5146.511376,0.57,120.859065,70.23334701,-1080,1
2017-06-25T09:16:08.150000Z,10018.34975,0.24,-38.36544343,64.32569207,-3680,0
2017-06-26T00:18:25.060000Z,10051.99211,0.29,-38.27994702,64.54416083,-3660,0
2017-06-26T01:23:01.130000Z,10132.4771,0.62,-37.48141872,62.61569118,-4000,0
2017-06-26T09:38:21.090000Z,95404.24108,2.39,152.3502943,84.96655743,-7710,1
2017-06-26T23:13:54.340000Z,11316.99506,1.33,-2.367354054,9.539467309,-10500,1
2017-06-28T14:34:11.530000Z,12747.34494,0.68,128.9870351,82.33387121,-1040,1
2017-06-28T23:40:50.920000Z,9480.540599,0.61,121.1927312,65.44031934,-3280,1
2017-06-30T05:39:07.260000Z,5901.707945,-0.05,103.8267728,35.23452066,-4160,1
2017-06-30T15:05:13.000000Z,11703.65745,2.46,-14.47355772,12.85103247,-10750,1
2017-07-01T02:05:39.860000Z,5624.55807,0.39,-21.78784624,45.2395525,-3300,1
2017-07-01T04:22:50.590000Z,36469.5259,2.39,128.8481358,76.48891885,-7860,1
2017-07-01T04:34:14.800000Z,14034.18353,1.36,123.3027431,47.67063428,-8790,1
2017-07-02T03:17:32.300000Z,87173.64215,2.86,127.186619,83.81599718,-8730,1
2017-07-02T22:14:00.290000Z,5418.150814,1.56,105.343877,36.94070186,-3670,1
2017-07-03T00:30:27.850000Z,12390.32013,1.66,129.0941564,90.09017266,680,1
2017-07-03T11:25:21.310000Z,12307.49922,0.74,128.0634836,90.09077946,680,0
2017-07-03T13:44:03.340000Z,11383.00746,0.5,126.1590814,86.3205375,-70,0
2017-07-03T14:30:19.760000Z,5140.049596,0.59,-15.91983288,42.15471627,-3150,1
2017-07-03T14:42:32.260000Z,52107.28574,2.86,-15.67786571,76.98994361,-11070,1
2017-07-04T03:52:31.370000Z,4747.234721,0.42,102.1960237,24.18669679,-3670,0
2017-07-04T23:36:05.050000Z,10503.63074,0.57,125.8534046,73.28763443,-2360,1
2017-07-04T23:36:30.660000Z,9741.524055,1.51,131.9235295,90.11469134,680,1
2017-07-07T04:29:57.570000Z,45053.1265,1.63,173.4855639,75.48673508,-10630,1
2017-07-07T08:09:53.260000Z,9662.432305,0.77,120.6778807,62.57427784,-3790,1
2017-07-09T11:02:26.690000Z,5347.407862,0.61,121.2277212,15.19332876,-4500,1
2017-07-10T04:23:23.480000Z,5176.621322,1.12,108.9733373,29.6122322,-3840,1
